Timestamp,"Generation, Active Gross Power (MW)","Generation, Reactive Gross Power (MVAR)","OEC, Exhaust Pressure Turbine CW (Bara)","OEC, Exhaust Pressure Turbine CCW (Bara)",Ambient Temp (C),"Spesific Steam - Brine, Consumption (kg/MW)","Steam, Main Steam Press (barg)","Steam, Main Steam Temp (C)","Brine, Brine Header Press (barg)","Brine, Brine Header Temp (C)","IJN-6-1, WHP (barg)","IJN-6-1, Valve Open (%)","IJN-6-1, 2 Phase Line Press (barg)","IJN-6-1, 2 Phase Line Temp (C)","IJN-6-2, WHP (barg)","IJN-6-2, Valve Open (%)","IJN-6-2, 2 Phase Line Press (barg)","IJN-6-2, 2 Phase Line Temp (C)","IJN-6-3, WHP (barg)","IJN-6-3, Valve Open (%)","IJN-6-3, 2 Phase Line Press (barg)","IJN-6-3, 2 Phase Line Temp (C)","IJN-6-4, WHP (barg)","IJN-6-4, Valve Open (%)","IJN-6-4, 2 Phase Line Press (barg)","IJN-6-4, 2 Phase Line Temp (C)","Pad 6, Separator Temp (C)","Pad 6, Separator Pressure (barg)","Pad 6, Steam Flow (kg/s)","IJN-8-1, WHP (barg)","IJN-8-1, Valve Open (%)","IJN-8-1, 2 Phase Line Press (barg)","IJN-8-1, 2 Phase Line Temp (C)","IJN-8-2, WHP (barg)","IJN-8-2, Valve Open (%)","IJN-8-2, 2 Phase Line Press (barg)","IJN-8-2, 2 Phase Line Temp (C)","Pad 8, Separator Temp (C)","Pad 8, Separator Pressure (barg)","Pad 8, Separator Temp (kg/s)","Pad 6 & Pad 8, Main Steam Flowrate (kg/s)","Pad 6 & Pad 8, Brine Flowrate (kg/s)","Pad 6 & Pad 8, Total Flowrate (kg/s)","IJN-5-1, Injection Press (Bara)","IJN-5-1, Injection Flow (kg/s)","IJN-5-1, Injection Temp (C)","IJN-5-1, Valve Open (%)","IJN-5-1, WHP (barg)","DUPE, IGNORE (1)","DUPE, IGNORE(2)","Header Reinjection Pump, Temperature (C)","Header Reinjection Pump, Pressure (Bara)","Brine Bypass Pre-heater, Opening CV-A (%)","Brine Bypass Pre-heater, Opening CV-B (%)","Preheater, Outlet Temp (C)","Separator IJN-6, Opening Brine Dump Valve A (%)","Separator IJN-6, Opening Brine Dump Valve B (%)","Separator IJN-8, Opening Brine Dump Valve A (%)","Separator IJN-8, Opening Brine Dump Valve B (%)","Rock Muffler, Opening Steam Dump Valve A (%)","Rock Muffler, Opening Steam Dump Valve B (%)",Source DGR,Delta Pressure_Barg
15-06-2025 1100H,34.27,5.311,0.896,0.911,21.174,4.218,12.919,193.68,14.722,194.046,26.438,18.132,14.093,198.124,29.873,18.019,13.882,196.212,19.377,41.997,14.177,196.595,20.827,40.542,14.1,197.581,195.323,13.366,44.337,5.244,9.987,0.0,82.781,22.447,48.559,13.658,192.197,195.158,13.253,3.54,51.314,93.239,144.552,8.366,135.297,92.702,12.901,6.809,14.722,194.046,90.745,13.943,0.973,0.274,91.722,0.118,0.117,2.155,2.749,0.491,3.731,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1200H,34.233,5.355,0.891,0.909,20.96,4.305,12.953,193.795,15.45,194.308,26.549,18.142,14.113,198.216,29.9,18.014,13.904,196.297,19.319,42.002,14.191,196.659,20.538,41.004,14.136,197.985,195.42,13.393,44.151,4.978,9.984,0.0,82.873,22.331,49.69,13.7,192.29,195.291,13.291,3.851,52.036,95.348,147.384,5.934,135.58,93.629,13.548,6.589,15.45,194.308,91.175,14.759,0.992,0.284,91.302,0.119,0.118,2.138,0.094,0.465,3.573,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1300H,34.584,5.548,0.895,0.918,20.832,4.155,13.035,194.078,15.536,194.385,27.251,18.14,14.22,198.605,29.951,18.016,14.009,196.626,19.342,42.001,14.285,196.922,20.521,41.103,14.237,198.307,195.762,13.498,45.078,4.797,9.985,0.0,82.962,22.204,49.375,13.774,192.468,195.583,13.374,3.544,54.398,89.302,143.699,1.304,131.625,93.384,14.392,6.338,15.536,194.385,89.87,14.959,0.982,0.284,91.642,0.118,0.117,0.079,0.093,0.486,5.25,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1400H,34.449,5.578,0.883,0.912,20.197,4.278,12.958,193.801,15.939,194.161,26.495,18.137,14.139,198.28,29.986,18.013,13.929,196.325,19.392,42.001,14.238,196.714,20.581,41.806,14.176,198.144,195.453,13.408,44.634,4.983,9.982,0.0,82.987,22.118,50.066,13.687,192.168,195.312,13.294,3.39,53.053,94.328,147.38,0.001,134.237,92.383,14.585,7.105,15.939,194.161,89.491,15.359,0.991,0.275,91.255,0.115,0.114,0.077,0.091,0.531,6.433,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1500H,34.237,5.407,0.895,0.929,19.555,4.269,12.849,193.447,15.793,194.027,26.512,18.124,13.99,197.935,29.993,17.995,13.795,195.891,19.311,41.55,14.123,196.302,20.433,41.715,14.05,197.827,195.105,13.29,44.596,5.205,9.974,0.0,82.808,22.029,49.682,13.558,191.771,194.971,13.187,3.906,52.129,94.033,146.162,0.0,133.328,93.062,14.58,7.076,15.793,194.027,89.278,15.228,1.027,0.288,90.749,0.111,0.113,4.267,0.088,0.582,3.297,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1600H,34.15,5.077,0.925,0.952,19.481,4.137,12.794,193.279,15.043,193.885,27.223,18.109,13.911,197.856,30.014,17.982,13.725,195.703,19.235,41.053,14.04,196.003,20.281,40.934,13.972,197.602,194.971,13.241,45.141,5.351,9.972,0.0,82.564,21.983,49.421,13.494,191.511,194.796,13.136,3.907,52.399,88.87,141.268,5.293,129.779,93.344,14.576,6.122,15.043,193.885,88.935,14.483,1.039,0.304,91.284,0.852,0.116,7.063,0.087,0.61,0.416,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1700H,33.829,6.557,0.918,0.936,19.189,4.343,12.71,192.982,15.805,193.636,26.44,18.107,13.808,197.481,30.038,17.981,13.628,195.403,19.366,41.012,13.951,195.732,20.259,41.023,13.879,197.252,194.617,13.138,44.256,5.462,9.968,0.0,82.339,21.97,49.925,13.411,191.176,194.488,13.049,3.803,51.693,95.213,146.906,12.085,133.845,93.099,14.576,6.518,15.805,193.636,89.592,15.22,1.038,0.302,92.354,1.051,0.123,4.538,0.086,0.617,0.415,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1800H,33.978,7.86,0.904,0.92,18.592,4.341,12.795,193.248,15.943,193.732,26.521,18.107,13.89,197.72,30.056,17.981,13.71,195.636,19.404,41.014,14.029,195.942,20.366,41.016,13.962,197.503,194.878,13.222,44.16,5.652,9.966,0.0,82.103,21.958,49.369,13.487,191.349,194.749,13.131,3.901,51.773,95.729,147.502,12.887,134.084,94.022,14.576,7.211,15.943,193.732,89.603,15.332,1.04,0.298,92.754,0.307,0.129,5.365,0.086,0.62,0.415,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1900H,34.045,7.527,0.899,0.915,18.214,4.229,12.799,193.294,15.327,193.901,26.752,18.106,13.896,197.807,30.076,17.981,13.718,195.694,19.275,41.014,14.028,195.947,20.336,41.016,13.969,197.572,194.956,13.236,44.588,5.84,9.967,0.0,81.893,21.958,49.256,13.492,191.433,194.801,13.136,3.973,52.704,91.285,143.988,12.232,131.081,93.739,14.575,6.808,15.327,193.901,88.941,14.703,1.039,0.299,92.099,0.108,0.131,5.623,0.086,0.614,0.416,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 2000H,34.084,7.387,0.859,0.87,17.936,4.302,12.838,193.399,15.743,193.82,26.547,18.108,13.926,197.833,30.098,17.982,13.745,195.727,19.411,41.012,14.059,196.046,20.357,40.72,13.992,197.608,195.019,13.262,43.873,6.017,9.97,0.0,81.694,21.971,48.79,13.525,191.464,194.911,13.171,3.64,51.644,94.989,146.633,12.57,133.14,93.378,14.575,6.988,15.743,193.82,89.234,15.101,1.04,0.294,92.488,0.109,0.13,3.515,0.087,0.608,0.417,Daily Generation Report_2025.06.15.xlsx,
